Date,Close,Date,Close,Date,Close
3/2/2015 16:00,575.02,3/2/2015 16:00,39.47,8/3/2015 16:00,27.74
3/3/2015 16:00,578.79,3/3/2015 16:00,39.91,8/4/2015 16:00,25.8
3/4/2015 16:00,578.33,3/4/2015 16:00,40.49,8/5/2015 16:00,25.24
3/5/2015 16:00,581.43,3/5/2015 16:00,40.13,8/6/2015 16:00,26.95
3/6/2015 16:00,572.9,3/6/2015 16:00,38.78,8/7/2015 16:00,26.5
3/9/2015 16:00,574.1,3/9/2015 16:00,38.18,8/10/2015 16:00,26.14
3/10/2015 16:00,559.85,3/10/2015 16:00,38.06,8/11/2015 16:00,25.38
3/11/2015 16:00,555.69,3/11/2015 16:00,38.75,8/12/2015 16:00,25.99
3/12/2015 16:00,561.17,3/12/2015 16:00,38.21,8/13/2015 16:00,26.2
3/13/2015 16:00,553,3/13/2015 16:00,37.74,8/14/2015 16:00,25.19
3/16/2015 16:00,561.64,3/16/2015 16:00,39.14,8/17/2015 16:00,24.8
3/17/2015 16:00,557.61,3/17/2015 16:00,38.95,8/18/2015 16:00,26.06
3/18/2015 16:00,566.16,3/18/2015 16:00,40.14,8/19/2015 16:00,26.77
3/19/2015 16:00,563.67,3/19/2015 16:00,39.13,8/20/2015 16:00,25.17
3/20/2015 16:00,564.95,3/20/2015 16:00,39.62,8/21/2015 16:00,25.18
3/23/2015 16:00,565.37,3/23/2015 16:00,39.93,8/24/2015 16:00,24.37
3/24/2015 16:00,577.54,3/24/2015 16:00,40.34,8/25/2015 16:00,24.6
3/25/2015 16:00,567,3/25/2015 16:00,38.86,8/26/2015 16:00,25
3/26/2015 16:00,563.64,3/26/2015 16:00,38.08,8/27/2015 16:00,25.16
3/27/2015 16:00,557.55,3/27/2015 16:00,37,8/28/2015 16:00,24.86
3/30/2015 16:00,561.14,3/30/2015 16:00,38.11,8/31/2015 16:00,24.66
3/31/2015 16:00,554.7,3/31/2015 16:00,37.75,9/1/2015 16:00,24.43
4/1/2015 16:00,549.49,4/1/2015 16:00,37.52,9/2/2015 16:00,25.32
4/2/2015 16:00,541.31,4/2/2015 16:00,38.2,9/3/2015 16:00,25.51
4/6/2015 16:00,543.95,4/6/2015 16:00,40.62,9/4/2015 16:00,25.07
4/7/2015 16:00,544.86,4/7/2015 16:00,40.65,9/8/2015 16:00,25.24
4/8/2015 16:00,548.84,4/8/2015 16:00,41.53,9/9/2015 16:00,25.07
4/9/2015 16:00,548.02,4/9/2015 16:00,42.02,9/10/2015 16:00,25.45
4/10/2015 16:00,548.54,4/10/2015 16:00,42.18,9/11/2015 16:00,25.87
4/13/2015 16:00,548.64,4/13/2015 16:00,41.96,9/14/2015 16:00,26.12
4/14/2015 16:00,539.78,4/14/2015 16:00,41.49,9/15/2015 16:00,27.65
4/15/2015 16:00,541.04,4/15/2015 16:00,41.57,9/16/2015 16:00,27.45
4/16/2015 16:00,543.52,4/16/2015 16:00,41.34,9/17/2015 16:00,27.91
4/17/2015 16:00,532.74,4/17/2015 16:00,41.36,9/18/2015 16:00,28.07
4/20/2015 16:00,544.53,4/20/2015 16:00,41.05,9/21/2015 16:00,27.36
4/21/2015 16:00,542.92,4/21/2015 16:00,41.88,9/22/2015 16:00,27.26
4/22/2015 16:00,549.18,4/22/2015 16:00,43.89,9/23/2015 16:00,27.49
4/23/2015 16:00,557.46,4/23/2015 16:00,43.72,9/24/2015 16:00,27.26
4/24/2015 16:00,573.66,4/24/2015 16:00,43.69,9/25/2015 16:00,27.9
4/27/2015 16:00,566.12,4/27/2015 16:00,46.31,9/28/2015 16:00,27.58
4/28/2015 16:00,564.37,4/28/2015 16:00,46.1,9/29/2015 16:00,27.5
4/29/2015 16:00,561.39,4/29/2015 16:00,46.49,9/30/2015 16:00,27
4/30/2015 16:00,548.77,4/30/2015 16:00,45.21,10/1/2015 16:00,26.11
5/1/2015 16:00,551.16,5/1/2015 16:00,45.21,10/2/2015 16:00,26.56
