Date,Close,Date,Close,Date,Close
8/3/2015 16:00,664.72,8/3/2015 16:00,52,8/3/2015 16:00,27.74
8/4/2015 16:00,661.28,8/4/2015 16:00,53.26,8/4/2015 16:00,25.8
8/5/2015 16:00,673.29,8/5/2015 16:00,54.03,8/5/2015 16:00,25.24
8/6/2015 16:00,670.15,8/6/2015 16:00,49.23,8/6/2015 16:00,26.95
8/7/2015 16:00,664.39,8/7/2015 16:00,48.5,8/7/2015 16:00,26.5
8/10/2015 16:00,663.14,8/10/2015 16:00,48.23,8/10/2015 16:00,26.14
8/11/2015 16:00,690.3,8/11/2015 16:00,47.47,8/11/2015 16:00,25.38
8/12/2015 16:00,691.47,8/12/2015 16:00,47.63,8/12/2015 16:00,25.99
8/13/2015 16:00,686.51,8/13/2015 16:00,48.5,8/13/2015 16:00,26.2
8/14/2015 16:00,689.37,8/14/2015 16:00,48.63,8/14/2015 16:00,25.19
8/17/2015 16:00,694.11,8/17/2015 16:00,51,8/17/2015 16:00,24.8
8/18/2015 16:00,688.73,8/18/2015 16:00,52.14,8/18/2015 16:00,26.06
8/19/2015 16:00,694.04,8/19/2015 16:00,51.05,8/19/2015 16:00,26.77
8/20/2015 16:00,679.48,8/20/2015 16:00,48.44,8/20/2015 16:00,25.17
8/21/2015 16:00,644.03,8/21/2015 16:00,46.15,8/21/2015 16:00,25.18
8/24/2015 16:00,618.11,8/24/2015 16:00,43.77,8/24/2015 16:00,24.37
8/25/2015 16:00,612.47,8/25/2015 16:00,44.01,8/25/2015 16:00,24.6
8/26/2015 16:00,659.74,8/26/2015 16:00,44.97,8/26/2015 16:00,25
8/27/2015 16:00,667.96,8/27/2015 16:00,48.6,8/27/2015 16:00,25.16
8/28/2015 16:00,659.69,8/28/2015 16:00,49.7,8/28/2015 16:00,24.86
8/31/2015 16:00,647.82,8/31/2015 16:00,49.81,8/31/2015 16:00,24.66
9/1/2015 16:00,629.56,9/1/2015 16:00,47.73,9/1/2015 16:00,24.43
9/2/2015 16:00,644.91,9/2/2015 16:00,49.54,9/2/2015 16:00,25.32
9/3/2015 16:00,637.05,9/3/2015 16:00,49.11,9/3/2015 16:00,25.51
9/4/2015 16:00,628.96,9/4/2015 16:00,48.39,9/4/2015 16:00,25.07
9/8/2015 16:00,643.88,9/8/2015 16:00,49.63,9/8/2015 16:00,25.24
9/9/2015 16:00,643.41,9/9/2015 16:00,49.78,9/9/2015 16:00,25.07
9/10/2015 16:00,651.08,9/10/2015 16:00,49.7,9/10/2015 16:00,25.45
9/11/2015 16:00,655.3,9/11/2015 16:00,50.05,9/11/2015 16:00,25.87
9/14/2015 16:00,652.47,9/14/2015 16:00,50.64,9/14/2015 16:00,26.12
9/15/2015 16:00,665.07,9/15/2015 16:00,50.71,9/15/2015 16:00,27.65
9/16/2015 16:00,665.52,9/16/2015 16:00,52.45,9/16/2015 16:00,27.45
9/17/2015 16:00,671.67,9/17/2015 16:00,52.41,9/17/2015 16:00,27.91
9/18/2015 16:00,660.92,9/18/2015 16:00,52.12,9/18/2015 16:00,28.07
9/21/2015 16:00,666.98,9/21/2015 16:00,52.84,9/21/2015 16:00,27.36
9/22/2015 16:00,653.2,9/22/2015 16:00,52.19,9/22/2015 16:00,27.26
9/23/2015 16:00,653.29,9/23/2015 16:00,52.21,9/23/2015 16:00,27.49
9/24/2015 16:00,654.91,9/24/2015 16:00,52.62,9/24/2015 16:00,27.26
9/25/2015 16:00,640.15,9/25/2015 16:00,51.38,9/25/2015 16:00,27.9
9/28/2015 16:00,624.25,9/28/2015 16:00,49.69,9/28/2015 16:00,27.58
9/29/2015 16:00,622.61,9/29/2015 16:00,49.33,9/29/2015 16:00,27.5
9/30/2015 16:00,638.37,9/30/2015 16:00,49.68,9/30/2015 16:00,27
10/1/2015 16:00,642,10/1/2015 16:00,47.98,10/1/2015 16:00,26.11
10/2/2015 16:00,656.99,10/2/2015 16:00,49.51,10/2/2015 16:00,26.56
10/5/2015 16:00,671.68,10/5/2015 16:00,49.23,10/5/2015 16:00,27.12
10/6/2015 16:00,671.64,10/6/2015 16:00,48.29,10/6/2015 16:00,28.55
10/7/2015 16:00,670,10/7/2015 16:00,46.39,10/7/2015 16:00,29.99
10/8/2015 16:00,667,10/8/2015 16:00,45.34,10/8/2015 16:00,31.6
10/9/2015 16:00,671.24,10/9/2015 16:00,44.14,10/9/2015 16:00,33.45
10/12/2015 16:00,676.43,10/12/2015 16:00,43.12,10/12/2015 16:00,32
10/13/2015 16:00,683.17,10/13/2015 16:00,43.85,10/13/2015 16:00,31.65
10/14/2015 16:00,680.41,10/14/2015 16:00,43.38,10/14/2015 16:00,31.87
10/15/2015 16:00,693.02,10/15/2015 16:00,44.26,10/15/2015 16:00,31.15
10/16/2015 16:00,695.32,10/16/2015 16:00,45.4,10/16/2015 16:00,30.45
10/19/2015 16:00,699.95,10/19/2015 16:00,45.62,10/19/2015 16:00,30.66
10/20/2015 16:00,680,10/20/2015 16:00,42.61,10/20/2015 16:00,31.16
10/21/2015 16:00,671.8,10/21/2015 16:00,42.02,10/21/2015 16:00,29.89
10/22/2015 16:00,681.14,10/22/2015 16:00,42.34,10/22/2015 16:00,29.95
10/23/2015 16:00,719.33,10/23/2015 16:00,41.82,10/23/2015 16:00,29.99
10/26/2015 16:00,731.12,10/26/2015 16:00,43.05,10/26/2015 16:00,29.43
10/27/2015 16:00,732.82,10/27/2015 16:00,42.07,10/27/2015 16:00,28.46
10/28/2015 16:00,736.92,10/28/2015 16:00,42.59,10/28/2015 16:00,28.23
10/29/2015 16:00,744.85,10/29/2015 16:00,42.33,10/29/2015 16:00,27.57
10/30/2015 16:00,737.39,10/30/2015 16:00,41.39,10/30/2015 16:00,27.69
11/2/2015 16:00,747.74,11/2/2015 16:00,42.76,11/2/2015 16:00,28.46
11/3/2015 16:00,748.82,11/3/2015 16:00,41.67,11/3/2015 16:00,29.5
11/4/2015 16:00,755.31,11/4/2015 16:00,46.33,11/4/2015 16:00,27.65
11/5/2015 16:00,760.67,11/5/2015 16:00,46.35,11/5/2015 16:00,25.79
11/6/2015 16:00,761.6,11/6/2015 16:00,46.47,11/6/2015 16:00,25.48
11/9/2015 16:00,754.77,11/9/2015 16:00,45.07,11/9/2015 16:00,25.3
11/10/2015 16:00,758.26,11/10/2015 16:00,43.3,11/10/2015 16:00,24.4
11/11/2015 16:00,765.25,11/11/2015 16:00,43.82,11/11/2015 16:00,24.36
11/12/2015 16:00,756.53,11/12/2015 16:00,42.59,11/12/2015 16:00,23.79
11/13/2015 16:00,740.07,11/13/2015 16:00,41.44,11/13/2015 16:00,23.27
11/16/2015 16:00,750.42,11/16/2015 16:00,42.86,11/16/2015 16:00,23.73
11/17/2015 16:00,745.98,11/17/2015 16:00,42.8,11/17/2015 16:00,24.71
11/18/2015 16:00,760.01,11/18/2015 16:00,44.21,11/18/2015 16:00,25.28
11/19/2015 16:00,759.94,11/19/2015 16:00,44.36,11/19/2015 16:00,25.23
11/20/2015 16:00,777,11/20/2015 16:00,44,11/20/2015 16:00,25.29
11/23/2015 16:00,776.7,11/23/2015 16:00,43.55,11/23/2015 16:00,24.48
11/24/2015 16:00,769.63,11/24/2015 16:00,43.65,11/24/2015 16:00,24.81
11/25/2015 16:00,769.26,11/25/2015 16:00,45.93,11/25/2015 16:00,24.94
11/27/2015 16:00,771.97,11/27/2015 16:00,46.32,11/27/2015 16:00,24.55
11/30/2015 16:00,762.85,11/30/2015 16:00,46.05,11/30/2015 16:00,24.65
12/1/2015 16:00,783.79,12/1/2015 16:00,47.44,12/1/2015 16:00,24.1
12/2/2015 16:00,777.85,12/2/2015 16:00,46.4,12/2/2015 16:00,24.65
12/3/2015 16:00,768.2,12/3/2015 16:00,46.54,12/3/2015 16:00,24.5
12/4/2015 16:00,779.21,12/4/2015 16:00,46.08,12/4/2015 16:00,24.66
12/7/2015 16:00,772.99,12/7/2015 16:00,46.23,12/7/2015 16:00,24.95
12/8/2015 16:00,775.14,12/8/2015 16:00,45.34,12/8/2015 16:00,24.71
12/9/2015 16:00,762.55,12/9/2015 16:00,44.9,12/9/2015 16:00,23.57
12/10/2015 16:00,760.04,12/10/2015 16:00,45.41,12/10/2015 16:00,23.46
12/11/2015 16:00,750.42,12/11/2015 16:00,43.4,12/11/2015 16:00,23.28
12/14/2015 16:00,762.54,12/14/2015 16:00,43.72,12/14/2015 16:00,23.55
